0.3,0.26
0.32,1.44
0.51,1.63
0.55,1.75
0.34,2.5
0.89,2.81
2.97,1.49
3.42,1.01
1.52,3.23
3.3,1.58
1.64,3.28
0.18,3.87
0.48,4.02
2.18,3.52
1.78,3.75
4.34,0.7
4.41,0.31
4.7,1.03
4.86,1.18
5.02,0.86
3.08,4.08
3.95,3.29
3.55,4.02
5.07,2.57
4.95,3.02
5.34,2.31
3.04,5.02
2.77,5.22
4.59,3.98
4.4,4.39
5.48,3.11
5.61,3.05
0.31,6.4
5.37,3.5
6.53,0.2
3.7,5.47
6.66,1.44
6.16,3.05
0.02,6.88
6.7,1.8
0.98,6.89
6.95,0.78
2.1,6.7
7.1,0.33
6.5,4.17
7.11,3.07
4.18,6.61
5.16,5.99
7.89,1.39
6.9,4.22
8.02,1.18
5.2,6.27
5.9,5.96
8.14,2.03
8.23,1.73
5.56,6.33
5.14,6.8
0.73,8.52
4.86,7.09
4.17,7.56
5.63,6.61
6.61,5.71
5.71,6.72
8.25,3.23
1.74,8.69
2.71,8.62
5.61,7.14
7.36,5.42
8.35,3.89
7.85,4.84
5.5,7.44
9.26,0.65
3.54,8.65
8.81,3.17
0.45,9.42
6.68,6.7
1.89,9.33
4.39,8.78
4.77,8.62
9.7,2.35
3.24,9.48
4.54,8.96
9.08,4.33
1.73,9.95
1.78,9.97
6.33,8.09
7.23,7.3
8.23,6.33
9.41,4.92
5.26,9.29
9.98,3.87
6.68,8.57
8.52,6.89
6.67,8.78
7.92,7.91
9.66,5.82
9.08,7.8
7.87,9.3
9.64,8.07
9.81,8.34
