0.82,0.54
1.31,0.64
1.66,1.02
1.98,1.05
2.01,1.17
1.01,2.3
2.65,1.07
1.32,2.75
3.07,0.03
0.21,3.09
2.95,1.17
1.97,2.57
2.73,2.0
2.68,2.11
2.06,2.77
3.3,2.02
3.35,2.11
3.57,1.73
1.3,3.75
2.69,2.93
4.06,0.08
0.69,4.16
0.75,4.21
1.65,4.0
2.15,4.1
2.79,3.99
3.71,3.18
2.95,4.02
5.01,0.79
1.71,5.04
0.49,5.3
4.25,3.37
3.1,4.51
1.45,5.34
3.85,4.0
2.31,5.06
5.61,0.28
3.87,4.1
0.19,5.7
2.76,5.09
3.08,5.21
4.43,4.13
6.08,0.01
1.02,6.01
1.28,6.1
6.11,1.47
5.87,2.32
5.93,2.2
1.29,6.23
2.2,5.98
6.45,0.87
6.58,0.22
5.15,4.17
3.31,5.82
6.59,1.59
1.3,6.76
3.11,6.22
6.96,0.02
5.26,4.58
3.92,5.82
5.92,3.88
6.97,1.62
7.25,0.45
7.19,1.18
6.33,3.62
2.35,6.99
7.31,1.06
1.17,7.32
7.22,1.88
6.94,2.88
7.09,2.9
7.6,0.97
7.78,0.8
7.79,1.5
4.1,6.84
8.12,0.57
0.54,8.17
7.78,2.56
5.65,5.93
2.08,7.94
2.63,7.82
6.47,5.19
1.01,8.24
6.41,5.28
7.19,4.22
8.37,0.65
8.33,1.05
6.88,4.83
2.38,8.08
8.28,1.57
5.34,6.52
7.2,4.39
1.98,8.22
2.17,8.18
5.3,6.61
8.3,1.87
0.73,8.57
7.72,3.9
7.02,5.1
8.68,0.54
6.61,5.68
7.91,3.86
8.76,0.92
0.32,8.83
3.98,7.89
8.73,1.5
8.84,0.69
3.36,8.24
4.12,7.93
4.62,7.66
8.32,3.31
1.79,8.78
0.87,8.92
4.09,8.04
9.08,0.56
0.14,9.11
3.39,8.51
8.2,4.11
9.05,1.75
5.9,7.2
1.04,9.26
8.2,4.57
3.59,8.7
8.37,4.32
6.32,6.99
7.89,5.17
8.0,5.01
4.35,8.42
6.08,7.33
8.5,4.35
8.75,3.98
1.73,9.46
0.01,9.65
3.07,9.15
4.06,8.78
4.48,8.65
2.45,9.46
9.42,2.67
1.61,9.67
8.8,4.58
6.89,7.28
9.51,3.45
8.84,5.17
9.87,2.75
9.39,4.5
6.53,8.13
9.23,4.96
3.94,9.72
3.94,9.74
9.84,3.73
8.61,6.16
9.66,4.46
6.7,8.28
6.85,8.26
8.5,6.78
4.59,9.94
6.36,9.02
9.52,5.6
5.91,9.55
6.7,9.09
9.18,6.7
7.66,8.5
9.54,6.5
9.18,7.07
8.08,8.35
7.93,8.73
8.5,8.21
7.68,9.05
8.4,8.57
6.66,10.0
9.88,7.14
8.52,8.81
7.63,9.7
7.94,9.55
9.98,7.51
9.09,8.68
9.93,7.91
8.25,9.67
9.96,8.24
9.13,9.7
